ID,date,away,home,location,url
2021-07-17-AUS-LA,2021-07-17,Austin Sol,Los Angeles Aviators,LA Southwest College,https://theaudl.com/stats/game/2021-07-17-AUS-LA
2021-07-17-IND-MAD,2021-07-17,Indianapolis AlleyCats,Madison Radicals,Breese Stevens Field,https://theaudl.com/stats/game/2021-07-17-IND-MAD
2021-07-17-ATL-DC,2021-07-17,Atlanta Hustle,DC Breeze,"Carlini Field, Catholic U",https://theaudl.com/stats/game/2021-07-17-ATL-DC
2021-07-17-DAL-SJ,2021-07-17,Dallas Roughnecks,San Jose Spiders, Oakland Technical High School,https://theaudl.com/stats/game/2021-07-17-DAL-SJ
2021-07-17-NY-BOS,2021-07-17,New York Empire,Boston Glory,Hormel Stadium,https://theaudl.com/stats/game/2021-07-17-NY-BOS
2021-07-18-AUS-SD,2021-07-18,Austin Sol,San Diego Growlers,Mission Bay,https://theaudl.com/stats/game/2021-07-18-AUS-SD
2021-07-18-IND-CHI,2021-07-18,Indianapolis AlleyCats,Chicago Union,Langhorst Field,https://theaudl.com/stats/game/2021-07-18-IND-CHI
2021-07-23-LA-SEA,2021-07-23,Los Angeles Aviators,Seattle Cascades,Seattle Memorial Stadium,https://theaudl.com/stats/game/2021-07-23-LA-SEA
2021-07-23-SD-DAL,2021-07-23,San Diego Growlers,Dallas Roughnecks, John Paul II High School,https://theaudl.com/stats/game/2021-07-23-SD-DAL
2021-07-24-CHI-MIN,2021-07-24,Chicago Union,Minnesota Wind Chill,Sea Foam Stadium,https://theaudl.com/stats/game/2021-07-24-CHI-MIN
2021-07-24-IND-DET,2021-07-24,Indianapolis AlleyCats,Detroit Mechanix,Grand Rapids Christian HS,https://theaudl.com/stats/game/2021-07-24-IND-DET
2021-07-24-TOR-OTT,2021-07-24,Toronto Rush,Ottawa Outlaws,MNP Park,https://theaudl.com/stats/game/2021-07-24-TOR-OTT
2021-07-24-BOS-TB,2021-07-24,Boston Glory,Tampa Bay Cannons,Campbell Park ,https://theaudl.com/stats/game/2021-07-24-BOS-TB
2021-07-24-LA-SJ,2021-07-24,Los Angeles Aviators,San Jose Spiders, Oakland Technical High School,https://theaudl.com/stats/game/2021-07-24-LA-SJ
